,grid,Area,LAT,LON,DEPTH,DIST2SHORE,DIST125,DIST1000,SST
130,3022981,100,44.22922366,-62.68193076,-203.4120331,51.88455963,10113.94764,154643.0855,15.66722469
131,3022982,100,44.2166978,-62.55795397,-137.3872223,56.83021927,121.3479149,152363.2394,15.69518685
132,3022983,100,44.20403668,-62.43403162,-127.5770416,62.19316864,925.1210399,146644.2209,15.70245298
133,3022984,100,44.19124034,-62.31016444,-153.2424316,68.37596893,5655.976341,139148.2358,15.67505795
134,3023180,32.922758,44.53652281,-67.81245271,-10,0.886509776,33893.98484,332711.4917,12.12736665
135,3023181,42.495388,44.52955092,-67.68706612,-10,0.544908285,27818.55529,326045.2984,12.17740143
136,3023182,87.234918,44.52244455,-67.56170351,-10.65005493,0.744454622,20510.68062,319503.6377,12.18447859
137,3023183,100,44.51520364,-67.43636565,-48.04792023,5.845852375,13268.77759,313117.0115,12.23486406
138,3023184,100,44.50782815,-67.31105326,-64.48602295,8.71718502,8162.418907,306923.3635,12.36247619
139,3023185,100,44.50031803,-67.18576712,-72.16481018,14.39148426,11626.78133,300887.0319,12.52098907
140,3023186,100,44.49267324,-67.06050796,-65.08365631,18.12815666,12175.51042,294769.4611,12.68548814
141,3023187,100,44.48489373,-66.93527654,-62.74499893,13.0486145,11044.21986,288868.5938,12.82334798
142,3023188,100,44.47697945,-66.8100736,-62.44798279,11.7045393,8591.819275,282796.4506,12.94123289
143,3023189,100,44.46893038,-66.6848999,-110.9729614,12.61697102,2516.286593,276260.497,13.00946738
144,3023190,100,44.46074647,-66.55975619,-190.9536896,19.72668648,4402.194248,269797.4494,13.03378556
145,3023191,100,44.4524277,-66.4346432,-185.9376373,17.70709038,9154.915155,263555.4316,13.03271073
146,3023192,100,44.44397401,-66.30956169,-127.0653305,8.456169128,39.09962037,257550.5125,13.06206599
147,3023193,78.053232,44.4353854,-66.18451242,-22.57791901,0.026441757,8146.22064,251799.6595,13.17838264
148,3023194,66.996487,44.42666182,-66.05949611,-10,1.166181684,17717.33061,246320.6648,13.33450827
149,3023209,98.81589,44.27959906,-64.18871438,-22.15132141,2.540093899,26541.00017,178871.5407,14.77099133
150,3023210,100,44.26871379,-64.0643267,-66.22781372,10.04232502,18486.0375,175759.7547,14.83578788
151,3023211,100,44.25769338,-63.93998459,-86.37506104,19.50154114,11246.38107,172987.9084,14.94118073
152,3023212,100,44.24653783,-63.81568878,-102.8615799,21.8462162,6449.91028,170718.8355,15.03047562
153,3023213,100,44.23524716,-63.69144,-120.4680328,21.97528458,1875.87943,168627.9851,15.10476242
154,3023214,100,44.22382136,-63.56723898,-124.7982483,24.1178627,1086.230877,165638.1113,15.20615348
155,3023215,100,44.21226047,-63.44308645,-117.1694641,29.27395248,470.484981,162547.3494,15.31037344
156,3023216,100,44.20056449,-63.31898313,-141.7815857,35.04523849,1113.996054,159930.9748,15.42810856
157,3023217,100,44.18873345,-63.19492977,-161.2633209,42.00440216,9968.317708,157426.6546,15.54027336
158,3023218,100,44.17676735,-63.07092707,-174.3240509,50.23055649,19883.24863,154814.2208,15.66318837
159,3023219,100,44.16466623,-62.94697577,-197.4674988,56.0333786,27177.47471,151745.0973,15.74396534
160,3023220,100,44.1524301,-62.82307659,-236.1288605,58.25698853,21536.77503,148076.9558,15.797437
161,3023221,100,44.140059,-62.69923025,-198.0501404,61.28009033,12336.15664,145006.4058,15.81157309
162,3023222,100,44.12755294,-62.57543747,-143.2565765,65.7447052,5996.096167,142572.544,15.81954835
163,3023223,100,44.11491197,-62.45169898,-150.3159027,71.00880432,7974.121785,140401.8129,15.80727972
164,3023224,100,44.1021361,-62.32801549,-139.2944183,76.28639221,1386.35215,132557.6658,15.78042511
165,3023225,100,44.08922539,-62.20438771,-124.7416306,81.63868713,1897.014276,125018.7474,15.7598865
166,3023420,98.847835,44.44682963,-67.82209466,-17.6538868,2,25649.5426,325403.0421,12.29446082
167,3023421,100,44.43986386,-67.6968945,-32.55385971,4.513614178,19773.4206,318583.9609,12.28518438
168,3023422,100,44.43276393,-67.57171833,-44.74175262,2.478393555,14024.41797,311936.4357,12.34970283
169,3023423,100,44.42552981,-67.44656689,-75.93827057,8.947018623,6383.936413,305409.4598,12.513833
170,3023424,100,44.41816144,-67.32144094,-102.0609207,17.0397625,398.3736576,299056.2268,12.70101402
171,3023425,100,44.41065877,-67.19634121,-102.0962906,22.43412399,5926.086412,292906.6661,12.88618482
172,3023426,100,44.40302176,-67.07126846,-106.2313766,26.19782448,4479.364066,286841.0438,13.0346919
173,3023427,100,44.39525036,-66.94622344,-115.1727905,23.094244,2366.297934,280773.5981,13.16340572
174,3023428,100,44.38734454,-66.82120688,-140.2726898,20.76554489,1267.861287,274936.0698,13.23495113
175,3023429,100,44.37930426,-66.69621953,-179.0760193,21.56957436,4850.388747,268708.953,13.23027784
176,3023430,100,44.37112947,-66.57126213,-200.6758423,20.23916054,9194.444833,262153.5938,13.1623398
177,3023431,100,44.36282015,-66.44633543,-153.8265839,11.81112576,2101.2844,255725.0636,13.10650947
178,3023432,100,44.35437626,-66.32144018,-60.96667862,3.977796078,4415.892993,249531.7809,13.11741363
179,3023433,99.976436,44.34579777,-66.19657712,-10,2.775092602,13155.23658,243591.6896,13.24744823
180,3023448,100,44.20095371,-64.3279972,-7.142648697,0.700280011,25481.62723,172206.4928,14.71946287
181,3023449,100,44.19021909,-64.20374971,-59.28927231,7.059775352,18765.55178,169229.2796,14.81887317
182,3023450,100,44.17934965,-64.07954695,-89.84793091,16.11034012,13191.97415,166258.9657,14.9238498
183,3023451,100,44.1683454,-63.95538963,-96.27952576,23.63953209,5095.487585,163325.958,15.0008344
184,3023452,100,44.15720635,-63.8312785,-131.97995,31.15151405,154.8532431,160940.0349,15.10684835
185,3023453,100,44.14593251,-63.70721428,-149.1343689,31.90674973,4222.29333,159085.7992,15.22046286
186,3023454,100,44.13452389,-63.58319769,-154.974884,33.05619431,9768.228425,156068.2846,15.32695762
187,3023455,100,44.1229805,-63.45922947,-159.4115753,37.20195007,9102.933452,153005.5096,15.42803786
188,3023456,100,44.11130236,-63.33531032,-173.4911499,43.33873367,10165.77284,150223.0407,15.53443167
189,3023457,100,44.09948948,-63.21144099,-157.2623444,49.19612122,15056.63193,147887.5274,15.66568106
190,3023458,100,44.08754189,-63.08762219,-183.9858246,56.48359299,15148.23759,145103.4538,15.78283041
191,3023459,100,44.07545961,-62.96385464,-222.6008148,64.068573,18319.52014,142606.7968,15.85515451
192,3023460,100,44.06324265,-62.84013906,-242.3351746,67.75213623,25073.1421,138705.2941,15.91702147
193,3023461,100,44.05089106,-62.71647618,-205.9136047,70.4108963,15783.97174,135422.4191,15.94814079
194,3023462,100,44.03840484,-62.5928667,-157.3803253,74.65951538,6959.20881,132813.0422,15.9403245
195,3023463,100,44.02578404,-62.46931134,-123.3442078,78.92159271,157.4086189,130917.4433,15.91783623
196,3023464,100,44.01302869,-62.34581082,-102.5131989,84.1971283,5147.068687,126410.7451,15.88226026
197,3023465,100,44.00013881,-62.22236584,-116.9523239,90.48612213,5821.439011,118484.354,15.85314675
198,3023466,100,43.98711444,-62.09897713,-123.5011673,95.78855896,694.7567018,110892.4826,15.82036697
199,3023659,95.019772,44.36395688,-67.95675111,-24.63681793,3.08604598,22319.24133,325030.6339,12.34864302
200,3023660,100,44.35713106,-67.83171337,-38.94585037,6.856934071,16893.46686,318209.8505,12.3271526
201,3023661,100,44.35017147,-67.70669889,-63.95393753,13.48285294,12996.8962,311265.0695,12.38851379
202,3023662,100,44.34307807,-67.5817084,-78.23601532,12.19219303,5759.698689,304457.7863,12.56290967
203,3023663,100,44.3358508,-67.45674265,-111.9738693,15.91491985,1658.022285,297830.7299,12.83665011
204,3023664,100,44.32848961,-67.33180238,-147.5604553,22.9708004,1405.529589,291319.9302,13.04283075
205,3023665,100,44.32099446,-67.20688833,-142.3654175,30.40055466,4021.44577,285003.4915,13.21697419
206,3023666,100,44.3133653,-67.08200125,-124.7534714,35.16347122,432.993933,278902.6329,13.32280506
207,3023667,100,44.3056021,-66.95714187,-137.6640778,32.93978882,942.1116092,272804.9907,13.45633771
208,3023668,100,44.2977048,-66.83231094,-182.8800964,30.7295208,8546.207258,266793.1635,13.51948959
209,3023669,100,44.28967336,-66.70750919,-183.3108368,25.25091934,8527.372803,261026.0917,13.45124917
210,3023670,100,44.28150777,-66.58273737,-153.4000244,15.77373695,1487.513594,254627.512,13.28493194
211,3023671,100,44.27320797,-66.45799622,-68.23869324,6.245929241,4621.168549,248050.7036,13.19061715
212,3023672,100,44.26477393,-66.33328648,-10,0.01873301,11750.60877,241660.8219,13.18555817
213,3023673,94.927758,44.25620563,-66.20860889,-1.485167027,5.360888958,18407.36387,235522.3013,13.26876701
214,3023687,99.368438,44.12213914,-64.46691061,-12.88413048,3.231426001,26674.30869,166264.4165,14.63272132
215,3023688,100,44.11155454,-64.34280352,-47.7520256,7.344546318,18513.89751,162730.4678,14.76510631
216,3023689,100,44.10083545,-64.21874032,-81.27585602,13.41645432,11392.57017,159631.043,14.89462274
217,3023690,100,44.08998189,-64.09472174,-97.24062347,21.0139637,4625.42705,156820.2662,15.01785547
218,3023691,100,44.07899385,-63.97074849,-110.1042709,29.25535202,4136.157115,153707.257,15.11164693
219,3023692,100,44.06787134,-63.84682131,-149.5553894,37.5830307,2158.063625,151189.6553,15.25000407
220,3023693,100,44.05661437,-63.72294092,-176.2184753,41.83856201,11670.24785,149214.8297,15.39725232
221,3023694,100,44.04522296,-63.59910804,-179.4560547,42.97770309,17994.46852,146505.8191,15.50120544
222,3023695,100,44.03369711,-63.4753234,-192.0031586,46.13028717,18968.43514,143517.277,15.59112293
223,3023696,100,44.02203685,-63.35158771,-182.9776154,51.29631424,14172.22751,140556.0631,15.68309899
224,3023697,100,44.01024218,-63.22790169,-160.804184,57.18561172,9003.768617,138222.9836,15.78244148
225,3023698,100,43.99831313,-63.10426606,-183.8821869,63.66868591,5154.486334,135434.7869,15.85270351
226,3023699,100,43.98624973,-62.98068154,-233.3509521,70.30686951,11294.15181,133142.3045,15.93308718
227,3023700,100,43.97405198,-62.85714885,-250.2055664,77.09480286,20637.65992,129427.7115,15.97340473
228,3023701,100,43.96171993,-62.7336687,-213.7575531,80.32801056,13596.23993,125903.1589,15.99763818
229,3023702,100,43.94925359,-62.6102418,-166.6821442,83.57463837,3631.501916,123092.1531,15.99607856
230,3023703,100,43.936653,-62.48686886,-130.4637451,87.83470154,1353.150708,121044.4176,15.97144099
231,3023704,100,43.92391818,-62.3635506,-133.831955,93.10818481,3253.857868,119717.2585,15.96230706
232,3023705,100,43.91104917,-62.24028772,-124.1885452,98.39508057,128.4117727,112395.6075,15.95595895
233,3023706,100,43.898046,-62.11708093,-123.9154205,104.4873047,1322.316264,104429.6386,15.93523539
